season_id,team_id,game_type
19331934,DET,3
19341935,DET,2
19351936,DET,2
19351936,DET,3
19361937,DET,3
19361937,DET,2
19371938,DET,2
19381939,DET,3
19381939,DET,2
19391940,DET,2
19391940,DET,3
19401941,DET,2
19401941,DET,3
19411942,DET,3
19411942,DET,2
19421943,DET,3
19421943,DET,2
19431944,DET,3
19431944,DET,2
19441945,DET,2
19441945,DET,3
19451946,DET,2
19451946,DET,3
19461947,DET,2
19461947,DET,3
19471948,DET,2
19471948,DET,3
19481949,DET,3
19481949,DET,2
19491950,DET,3
19491950,DET,2
19501951,DET,2
19501951,DET,3
19511952,DET,3
19511952,DET,2
19521953,DET,2
19521953,DET,3
19531954,DET,3
19531954,DET,2
19541955,DET,2
19541955,DET,3
19551956,DET,2
19551956,DET,3
19561957,DET,2
19561957,DET,3
19571958,DET,2
19571958,DET,3
19581959,DET,2
19591960,DET,3
19591960,DET,2
19601961,DET,2
19601961,DET,3
19611962,DET,2
19621963,DET,3
19621963,DET,2
19631964,DET,3
19631964,DET,2
19641965,DET,2
19641965,DET,3
19651966,DET,3
19651966,DET,2
19661967,DET,2
19671968,DET,2
19681969,DET,2
19691970,DET,3
19691970,DET,2
19701971,DET,2
19711972,DET,2
19721973,DET,2
19731974,DET,2
19741975,DET,2
19751976,DET,2
19761977,DET,2
19771978,DET,3
19771978,DET,2
19781979,DET,2
19791980,DET,2
19801981,DET,2
19811982,DET,2
19821983,DET,2
19831984,DET,2
19831984,DET,3
19841985,DET,2
19841985,DET,3
19851986,DET,2
19861987,DET,3
19861987,DET,2
19871988,DET,3
19871988,DET,2
19881989,DET,2
19881989,DET,3
19891990,DET,2
19901991,DET,2
19901991,DET,3
19911992,DET,3
19911992,DET,2
19921993,DET,2
19921993,DET,3
19931994,DET,2
19931994,DET,3
19941995,DET,3
19941995,DET,2
19951996,DET,2
19951996,DET,3
19961997,DET,2
19961997,DET,3
19971998,DET,2
19971998,DET,3
19981999,DET,3
19981999,DET,2
19992000,DET,3
19992000,DET,2
20002001,DET,3
20002001,DET,2
20012002,DET,2
20012002,DET,3
20022003,DET,3
20022003,DET,2
20032004,DET,3
20032004,DET,2
20052006,DET,3
20052006,DET,2
20062007,DET,3
20062007,DET,2
20072008,DET,2
20072008,DET,3
20082009,DET,2
20082009,DET,3
20092010,DET,3
20092010,DET,2
20102011,DET,3
20102011,DET,2
20112012,DET,2
20112012,DET,3
20122013,DET,2
20122013,DET,3
20132014,DET,3
20132014,DET,2
20142015,DET,2
20142015,DET,3
20152016,DET,3
20152016,DET,2
20162017,DET,2
20172018,DET,2
20182019,DET,2
20192020,DET,2
20202021,DET,2
20212022,DET,2
20222023,DET,2
20232024,DET,2
20242025,DET,2
19301931,DFL,2
19311932,DFL,2
19311932,DFL,3
19791980,EDM,2
19791980,EDM,3
19801981,EDM,2
19801981,EDM,3
19811982,EDM,3
19811982,EDM,2
19821983,EDM,3
19821983,EDM,2
19831984,EDM,2
19831984,EDM,3
19841985,EDM,2
19841985,EDM,3
19851986,EDM,3
19851986,EDM,2
19861987,EDM,3
19861987,EDM,2
19871988,EDM,2
19871988,EDM,3
19881989,EDM,3
19881989,EDM,2
